#Don't put as such on the web, use as private communication only!!
#authors of compilatio
# G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-AprilA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#      (Huhtinen, Summers)
#E_p [MeV] D/(95MeVmb)
2.035E+03 6.1579E-01
2.045E+03 6.1579E-01
2.055E+03 6.1579E-01
2.065E+03 6.1474E-01
2.075E+03 6.1474E-01
2.085E+03 6.1368E-01
2.095E+03 6.1368E-01
2.105E+03 6.1263E-01
2.115E+03 6.1263E-01
2.125E+03 6.1158E-01
2.135E+03 6.1158E-01
2.145E+03 6.1053E-01
2.155E+03 6.1053E-01
2.165E+03 6.1053E-01
2.175E+03 6.0947E-01
2.185E+03 6.0947E-01
2.195E+03 6.0842E-01
2.205E+03 6.0842E-01
2.215E+03 6.0737E-01
2.225E+03 6.0737E-01
2.235E+03 6.0632E-01
2.245E+03 6.0632E-01
2.255E+03 6.0526E-01
2.265E+03 6.0526E-01
2.275E+03 6.0526E-01
2.285E+03 6.0526E-01
2.295E+03 6.0421E-01
2.305E+03 6.0421E-01
2.315E+03 6.0421E-01
2.325E+03 6.0421E-01
2.335E+03 6.0421E-01
2.345E+03 6.0421E-01
2.355E+03 6.0421E-01
2.365E+03 6.0316E-01
2.375E+03 6.0316E-01
2.385E+03 6.0316E-01
2.395E+03 6.0316E-01
2.405E+03 6.0316E-01
2.415E+03 6.0316E-01
2.425E+03 6.0316E-01
2.435E+03 6.0211E-01
2.445E+03 6.0211E-01
2.455E+03 6.0211E-01
2.465E+03 6.0211E-01
2.475E+03 6.0211E-01
2.485E+03 6.0211E-01
2.495E+03 6.0211E-01
2.505E+03 6.0105E-01
2.515E+03 6.0105E-01
2.525E+03 6.0105E-01
2.535E+03 6.0105E-01
2.545E+03 6.0105E-01
2.555E+03 6.0105E-01
2.565E+03 6.0000E-01
2.575E+03 6.0000E-01
2.585E+03 6.0000E-01
2.595E+03 6.0000E-01
2.605E+03 6.0000E-01
2.615E+03 6.0000E-01
2.625E+03 6.0000E-01
2.635E+03 5.9895E-01
2.645E+03 5.9895E-01
2.655E+03 5.9895E-01
2.665E+03 5.9895E-01
2.675E+03 5.9895E-01
2.685E+03 5.9895E-01
2.695E+03 5.9895E-01
2.705E+03 5.9789E-01
2.715E+03 5.9789E-01
2.725E+03 5.9789E-01
2.735E+03 5.9789E-01
2.745E+03 5.9789E-01
2.755E+03 5.9789E-01
2.765E+03 5.9789E-01
2.775E+03 5.9684E-01
2.785E+03 5.9684E-01
2.795E+03 5.9684E-01
2.805E+03 5.9684E-01
2.815E+03 5.9684E-01
2.825E+03 5.9684E-01
2.835E+03 5.9579E-01
2.845E+03 5.9579E-01
2.855E+03 5.9579E-01
2.865E+03 5.9579E-01
2.875E+03 5.9579E-01
2.885E+03 5.9579E-01
2.895E+03 5.9579E-01
2.905E+03 5.9474E-01
2.915E+03 5.9474E-01
2.925E+03 5.9474E-01
2.935E+03 5.9474E-01
2.945E+03 5.9474E-01
2.955E+03 5.9474E-01
2.965E+03 5.9474E-01
2.975E+03 5.9368E-01
2.985E+03 5.9368E-01
2.995E+03 5.9368E-01
3.005E+03 5.9368E-01
3.015E+03 5.9368E-01
3.025E+03 5.9368E-01
3.035E+03 5.9368E-01
3.045E+03 5.9263E-01
3.055E+03 5.9263E-01
3.065E+03 5.9263E-01
3.075E+03 5.9263E-01
3.085E+03 5.9263E-01
3.095E+03 5.9263E-01
3.105E+03 5.9263E-01
3.115E+03 5.9158E-01
3.125E+03 5.9158E-01
3.135E+03 5.9158E-01
3.145E+03 5.9158E-01
3.155E+03 5.9158E-01
3.165E+03 5.9158E-01
3.175E+03 5.9053E-01
3.185E+03 5.9053E-01
3.195E+03 5.9053E-01
3.205E+03 5.9053E-01
3.215E+03 5.9053E-01
3.225E+03 5.9053E-01
3.235E+03 5.9053E-01
3.245E+03 5.8947E-01
3.255E+03 5.8947E-01
3.265E+03 5.8947E-01
3.275E+03 5.8947E-01
3.285E+03 5.8947E-01
3.295E+03 5.8947E-01
3.305E+03 5.8947E-01
3.315E+03 5.8842E-01
3.325E+03 5.8842E-01
3.335E+03 5.8842E-01
3.345E+03 5.8842E-01
3.355E+03 5.8842E-01
3.365E+03 5.8842E-01
3.375E+03 5.8842E-01
3.385E+03 5.8737E-01
3.395E+03 5.8737E-01
3.405E+03 5.8737E-01
3.415E+03 5.8737E-01
3.425E+03 5.8737E-01
3.435E+03 5.8737E-01
3.445E+03 5.8737E-01
3.455E+03 5.8632E-01
3.465E+03 5.8632E-01
3.475E+03 5.8632E-01
3.485E+03 5.8632E-01
3.495E+03 5.8632E-01
3.505E+03 5.8632E-01
3.515E+03 5.8632E-01
3.525E+03 5.8526E-01
3.535E+03 5.8526E-01
3.545E+03 5.8526E-01
3.555E+03 5.8526E-01
3.565E+03 5.8526E-01
3.575E+03 5.8526E-01
3.585E+03 5.8526E-01
3.595E+03 5.8421E-01
3.605E+03 5.8421E-01
3.615E+03 5.8421E-01
3.625E+03 5.8421E-01
3.635E+03 5.8421E-01
3.645E+03 5.8421E-01
3.655E+03 5.8421E-01
3.665E+03 5.8316E-01
3.675E+03 5.8316E-01
