#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 2.755E+03 4.642E-01
 2.765E+03 4.642E-01
 2.775E+03 4.642E-01
 2.785E+03 4.642E-01
 2.795E+03 4.642E-01
 2.805E+03 4.642E-01
 2.815E+03 4.632E-01
 2.825E+03 4.632E-01
 2.835E+03 4.632E-01
 2.845E+03 4.632E-01
 2.855E+03 4.632E-01
 2.865E+03 4.632E-01
 2.875E+03 4.632E-01
 2.885E+03 4.632E-01
 2.895E+03 4.632E-01
 2.905E+03 4.632E-01
 2.915E+03 4.632E-01
 2.925E+03 4.632E-01
 2.935E+03 4.632E-01
 2.945E+03 4.621E-01
 2.955E+03 4.621E-01
 2.965E+03 4.621E-01
 2.975E+03 4.621E-01
 2.985E+03 4.621E-01
 2.995E+03 4.621E-01
 3.005E+03 4.621E-01
 3.015E+03 4.621E-01
 3.025E+03 4.621E-01
 3.035E+03 4.621E-01
 3.045E+03 4.621E-01
 3.055E+03 4.621E-01
 3.065E+03 4.611E-01
 3.075E+03 4.611E-01
 3.085E+03 4.611E-01
 3.095E+03 4.611E-01
 3.105E+03 4.611E-01
 3.115E+03 4.611E-01
 3.125E+03 4.611E-01
 3.135E+03 4.611E-01
 3.145E+03 4.611E-01
 3.155E+03 4.611E-01
 3.165E+03 4.611E-01
 3.175E+03 4.611E-01
 3.185E+03 4.600E-01
 3.195E+03 4.600E-01
 3.205E+03 4.600E-01
 3.215E+03 4.600E-01
 3.225E+03 4.600E-01
 3.235E+03 4.600E-01
 3.245E+03 4.600E-01
 3.255E+03 4.600E-01
 3.265E+03 4.600E-01
 3.275E+03 4.600E-01
 3.285E+03 4.600E-01
 3.295E+03 4.600E-01
 3.305E+03 4.589E-01
 3.315E+03 4.589E-01
 3.325E+03 4.589E-01
 3.335E+03 4.589E-01
 3.345E+03 4.589E-01
 3.355E+03 4.589E-01
 3.365E+03 4.589E-01
 3.375E+03 4.589E-01
 3.385E+03 4.589E-01
 3.395E+03 4.589E-01
 3.405E+03 4.589E-01
 3.415E+03 4.579E-01
 3.425E+03 4.579E-01
 3.435E+03 4.579E-01
 3.445E+03 4.579E-01
 3.455E+03 4.579E-01
 3.465E+03 4.579E-01
 3.475E+03 4.579E-01
 3.485E+03 4.579E-01
 3.495E+03 4.579E-01
 3.505E+03 4.568E-01
 3.515E+03 4.568E-01
 3.525E+03 4.568E-01
 3.535E+03 4.568E-01
 3.545E+03 4.568E-01
 3.555E+03 4.568E-01
 3.565E+03 4.568E-01
 3.575E+03 4.558E-01
 3.585E+03 4.558E-01
 3.595E+03 4.558E-01
 3.605E+03 4.558E-01
 3.615E+03 4.558E-01
 3.625E+03 4.558E-01
 3.635E+03 4.558E-01
 3.645E+03 4.547E-01
 3.655E+03 4.547E-01
 3.665E+03 4.547E-01
 3.675E+03 4.547E-01
 3.685E+03 4.547E-01
 3.695E+03 4.547E-01
 3.705E+03 4.547E-01
 3.715E+03 4.537E-01
 3.725E+03 4.537E-01
 3.735E+03 4.537E-01
 3.745E+03 4.537E-01
 3.755E+03 4.537E-01
 3.765E+03 4.537E-01
 3.775E+03 4.537E-01
 3.785E+03 4.526E-01
 3.795E+03 4.526E-01
 3.805E+03 4.526E-01
 3.815E+03 4.526E-01
 3.825E+03 4.526E-01
 3.835E+03 4.526E-01
 3.845E+03 4.526E-01
 3.855E+03 4.516E-01
 3.865E+03 4.516E-01
 3.875E+03 4.516E-01
 3.885E+03 4.516E-01
 3.895E+03 4.516E-01
 3.905E+03 4.516E-01
 3.915E+03 4.505E-01
 3.925E+03 4.505E-01
 3.935E+03 4.505E-01
 3.945E+03 4.505E-01
 3.955E+03 4.505E-01
 3.965E+03 4.505E-01
 3.975E+03 4.505E-01
 3.985E+03 4.495E-01
 3.995E+03 4.495E-01
 4.005E+03 4.495E-01
 4.015E+03 4.495E-01
 4.025E+03 4.495E-01
 4.035E+03 4.495E-01
 4.045E+03 4.495E-01
 4.055E+03 4.484E-01
 4.065E+03 4.484E-01
 4.075E+03 4.484E-01
 4.085E+03 4.484E-01
 4.095E+03 4.484E-01
 4.105E+03 4.484E-01
 4.115E+03 4.484E-01
 4.125E+03 4.474E-01
 4.135E+03 4.474E-01
 4.145E+03 4.474E-01
 4.155E+03 4.474E-01
 4.165E+03 4.474E-01
 4.175E+03 4.474E-01
 4.185E+03 4.474E-01
 4.195E+03 4.463E-01
 4.205E+03 4.463E-01
 4.215E+03 4.463E-01
 4.225E+03 4.463E-01
 4.235E+03 4.463E-01
 4.245E+03 4.463E-01
 4.255E+03 4.463E-01
 4.265E+03 4.453E-01
 4.275E+03 4.453E-01
 4.285E+03 4.453E-01
 4.295E+03 4.453E-01
 4.305E+03 4.453E-01
 4.315E+03 4.453E-01
 4.325E+03 4.453E-01
 4.335E+03 4.442E-01
 4.345E+03 4.442E-01
 4.355E+03 4.442E-01
 4.365E+03 4.442E-01
 4.375E+03 4.442E-01
 4.385E+03 4.442E-01
 4.395E+03 4.442E-01
 4.405E+03 4.432E-01
 4.415E+03 4.432E-01
 4.425E+03 4.432E-01
 4.435E+03 4.432E-01
 4.445E+03 4.432E-01
 4.455E+03 4.432E-01
 4.465E+03 4.432E-01
 4.475E+03 4.421E-01
 4.485E+03 4.421E-01
 4.495E+03 4.421E-01
 4.505E+03 4.421E-01
 4.515E+03 4.421E-01
 4.525E+03 4.421E-01
 4.535E+03 4.421E-01
 4.545E+03 4.411E-01
 4.555E+03 4.411E-01
 4.565E+03 4.411E-01
 4.575E+03 4.411E-01
 4.585E+03 4.411E-01
 4.595E+03 4.411E-01
 4.605E+03 4.411E-01
 4.615E+03 4.400E-01
 4.625E+03 4.400E-01
 4.635E+03 4.400E-01
 4.645E+03 4.400E-01
 4.655E+03 4.400E-01
 4.665E+03 4.400E-01
 4.675E+03 4.400E-01
 4.685E+03 4.389E-01
 4.695E+03 4.389E-01
 4.705E+03 4.389E-01
 4.715E+03 4.389E-01
 4.725E+03 4.389E-01
 4.735E+03 4.389E-01
 4.745E+03 4.389E-01
 4.755E+03 4.379E-01
 4.765E+03 4.379E-01
 4.775E+03 4.379E-01
 4.785E+03 4.379E-01
 4.795E+03 4.379E-01
 4.805E+03 4.379E-01
 4.815E+03 4.379E-01
 4.825E+03 4.368E-01
 4.835E+03 4.368E-01
 4.845E+03 4.368E-01
 4.855E+03 4.368E-01
 4.865E+03 4.368E-01
 4.875E+03 4.368E-01
 4.885E+03 4.368E-01
 4.895E+03 4.358E-01
 4.905E+03 4.358E-01
 4.915E+03 4.358E-01
 4.925E+03 4.358E-01
 4.935E+03 4.358E-01
 4.945E+03 4.358E-01
 4.955E+03 4.358E-01
 4.965E+03 4.358E-01
 4.975E+03 4.347E-01
 4.985E+03 4.347E-01
 4.995E+03 4.347E-01
 5.005E+03 4.347E-01
 5.015E+03 4.347E-01
 5.025E+03 4.347E-01
 5.035E+03 4.347E-01
 5.045E+03 4.347E-01
 5.055E+03 4.337E-01
 5.065E+03 4.337E-01
 5.075E+03 4.337E-01
 5.085E+03 4.337E-01
 5.095E+03 4.337E-01
 5.105E+03 4.337E-01
 5.115E+03 4.337E-01
 5.125E+03 4.337E-01
 5.135E+03 4.326E-01
 5.145E+03 4.326E-01
 5.155E+03 4.326E-01
 5.165E+03 4.326E-01
 5.175E+03 4.326E-01
 5.185E+03 4.326E-01
 5.195E+03 4.326E-01
 5.205E+03 4.316E-01
 5.215E+03 4.316E-01
 5.225E+03 4.316E-01
