> Title:
PHOS MODULE # 2 - CALIBRATION and DEFORMATION MEASUREMENT BY DIGITAL PHOTOGRAMMETRY
> Date:
11/09/2006
> Subdetector:
PHOS
> Report URL:
https://edms.cern.ch/document/772860
> Version:
1
> General Observations:
Measurement of the 08/09/2006 is with prefix T1_
Measurement of the 11/09/2006 is with prefix T2_
Point Types: M(easured),T(ransformed), R(eference)
> Coordinate System:
LOCAL
> Units:
mm
> Nr Columns:
7
> Column Names:
Point Name,XLOCAL,YLOCAL,ZLOCAL,Point Type,Target Used,Precision(mm)
T1_20006,906.22,-0.35,274.36,M,Y,0.08
T1_20007,905.73,-0.43,319.91,M,Y,0.08
T1_20008,905.89,-0.77,365.31,M,Y,0.08
T1_20009,906.57,-0.59,410.74,M,Y,0.08
T1_20010,905.74,-0.42,456.22,M,Y,0.08
T1_20011,907.14,-0.99,501.46,M,Y,0.08
T1_20012,905.73,0.7,546.94,M,Y,0.08
T1_20013,905.86,0.07,592.02,M,Y,0.08
T1_20014,905.38,-0.19,637.24,M,Y,0.08
T1_20015,905.51,-0.28,683.05,M,Y,0.08
T1_20016,905.06,-0.13,728.37,M,Y,0.08
T1_20017,904.69,-0.42,773.9,M,Y,0.08
T1_20018,905.22,-0.18,819.2,M,Y,0.08
T1_20019,905.28,-0.28,864.69,M,Y,0.08
T1_20020,905.74,-0.22,909.88,M,Y,0.08
T1_20021,904.4,0.43,955.57,M,Y,0.08
T1_20022,903.85,-0.35,1000.76,M,Y,0.08
T1_20023,904.21,-0.44,1046.25,M,Y,0.08
T1_20024,904.37,-0.56,1091.53,M,Y,0.08
T1_20025,905.07,-0.31,1137.32,M,Y,0.08
T1_20026,904.5,-0.15,1183.02,M,Y,0.08
T1_20027,904.88,0.83,1228.66,M,Y,0.08
T1_21000,1064.5,-1,21.77,M,Y,0.08
T1_21001,1063.83,-0.95,67.64,M,Y,0.08
T1_21002,1064.43,-0.9,113.24,M,Y,0.08
T1_21003,1064.65,-0.47,159.51,M,Y,0.08
T1_21004,1063.35,-0.9,205.59,M,Y,0.08
T1_21005,1063.91,-0.72,250.92,M,Y,0.08
T1_21006,1064.64,-0.79,296.14,M,Y,0.08
T1_21007,1063.98,-0.58,341.03,M,Y,0.08
T1_21008,1064.46,-0.78,386.96,M,Y,0.08
T1_21009,1064.18,-0.67,432.74,M,Y,0.08
T1_21010,1064.14,-0.67,478.35,M,Y,0.08
T1_21011,1064.58,-0.76,523.91,M,Y,0.08
T1_21012,1063.24,-0.71,569.52,M,Y,0.08
T1_21013,1064.01,-0.48,615.13,M,Y,0.08
T1_21014,1064.21,-0.43,660.08,M,Y,0.08
T1_21015,1063.81,-0.49,705.66,M,Y,0.08
T1_21016,1063.17,-0.62,750.76,M,Y,0.08
T1_21017,1063.12,-0.64,795.75,M,Y,0.08
T1_21018,1063.37,-0.62,840.87,M,Y,0.08
T1_21019,1063.63,-0.12,886.51,M,Y,0.08
T1_21020,1064.38,-0.69,931.96,M,Y,0.08
T1_21021,1063.08,-0.32,977.83,M,Y,0.08
T1_21022,1062.69,-0.69,1022.93,M,Y,0.08
T1_21023,1062.36,-0.46,1068.01,M,Y,0.08
T1_21024,1063.14,-0.21,1114,M,Y,0.08
T1_21025,1062.7,-0.15,1158.82,M,Y,0.08
T1_21026,1062.39,-0.38,1204.94,M,Y,0.08
T1_21027,1065.14,2.04,1250.33,M,Y,0.08
T1_22000,1086.71,-1.14,-1.65,M,Y,0.08
T1_22001,1086.29,-0.81,43.75,M,Y,0.08
T1_22002,1087.33,-1.3,89.17,M,Y,0.08
T1_22003,1087.04,-1.21,135.34,M,Y,0.08
T1_22004,1086.93,-0.96,180.92,M,Y,0.08
T1_22005,1086.04,-0.25,226.26,M,Y,0.08
T1_22006,1086.7,-0.88,270.97,M,Y,0.08
T1_22007,1086.92,-0.42,317.23,M,Y,0.08
T1_22008,1087.15,-0.69,362.39,M,Y,0.08
T1_22009,1086.86,-0.62,407.47,M,Y,0.08
T1_22010,1086.88,-1.16,453.15,M,Y,0.08
T1_22011,1087.16,-0.64,498.27,M,Y,0.08
T1_22012,1086.58,-0.62,543.83,M,Y,0.08
T1_22013,1086.14,-0.52,589.06,M,Y,0.08
T1_22014,1086.55,-0.85,634.16,M,Y,0.08
T1_22015,1086.25,-0.7,681.65,M,Y,0.08
T1_22016,1085.77,-0.53,727.62,M,Y,0.08
T1_22017,1085.86,-0.6,773.08,M,Y,0.08
T1_22018,1085.9,-0.3,817.96,M,Y,0.08
T1_22019,1085.9,-0.46,863.34,M,Y,0.08
T1_22020,1086.26,0.52,908.73,M,Y,0.08
T1_22021,1085.16,-0.03,954.95,M,Y,0.08
T1_22022,1085.08,0.29,999.84,M,Y,0.08
T1_22023,1084.81,-0.43,1045.74,M,Y,0.08
T1_22024,1085.02,0.09,1091.02,M,Y,0.08
T1_22025,1085.01,0.14,1136.47,M,Y,0.08
T1_22026,1084.55,-0.48,1182.16,M,Y,0.08
T1_22027,1085.55,0.33,1227.81,M,Y,0.08
T1_23000,1244.07,-1.21,19.96,M,Y,0.08
T1_23001,1244.54,-0.73,65.6,M,Y,0.08
T1_23002,1245.49,-1.07,110.9,M,Y,0.08
T1_23003,1245.03,-0.37,155.91,M,Y,0.08
T1_23004,1245.6,-0.82,202.51,M,Y,0.08
T1_23005,1244.45,-0.67,247.79,M,Y,0.08
T1_23006,1244.79,-0.36,292.88,M,Y,0.08
T1_23007,1245.01,-0.74,338.66,M,Y,0.08
T1_23008,1244.82,-0.8,384.26,M,Y,0.08
T1_23009,1244.62,-0.56,429.65,M,Y,0.08
T1_23010,1244.72,-1.03,474.66,M,Y,0.08
T1_23011,1245.39,-0.72,519.82,M,Y,0.08
T1_23012,1244.73,-0.4,565.82,M,Y,0.08
T1_23013,1244.23,-0.51,610.91,M,Y,0.08
T1_23014,1244.53,-0.5,655.78,M,Y,0.08
T1_23015,1244.08,-0.46,703.6,M,Y,0.08
T1_23016,1243.9,-0.48,749.09,M,Y,0.08
T1_23017,1244.07,0.22,795.16,M,Y,0.08
T1_23018,1243.89,-0.42,840.34,M,Y,0.08
T1_23019,1244.06,-0.52,886.07,M,Y,0.08
T1_23020,1243.88,-0.47,931.16,M,Y,0.08
T1_23021,1243.92,0.09,976.73,M,Y,0.08
T1_23022,1243.9,-0.2,1022.05,M,Y,0.08
T1_23023,1243.61,0.94,1066.96,M,Y,0.08
T1_23024,1243.65,-0.57,1112.4,M,Y,0.08
T1_23025,1243.32,-0.61,1157.94,M,Y,0.08
T1_23026,1242.43,-0.42,1203.87,M,Y,0.08
T1_23027,1243.3,-0.19,1249.73,M,Y,0.08
T1_24000,1266.65,-0.53,-0.59,M,Y,0.08
T1_24001,1266.31,-1.46,45.43,M,Y,0.08
T1_24002,1267.87,-1.13,90.72,M,Y,0.08
T1_24003,1267.84,-1.12,136.72,M,Y,0.08
T1_24004,1268.16,-0.72,182.15,M,Y,0.08
T1_24005,1267.58,-1.12,228.14,M,Y,0.08
T1_24006,1267.5,-0.73,273.23,M,Y,0.08
T1_24007,1267.15,-0.17,319.51,M,Y,0.08
T1_24008,1267.3,-1.09,364.86,M,Y,0.08
T1_24009,1267.85,-0.84,409.91,M,Y,0.08
T1_24010,1267.07,-0.71,455.13,M,Y,0.08
T1_24011,1267.27,-0.24,500.85,M,Y,0.08
T1_24012,1267.73,-0.37,546.67,M,Y,0.08
T1_24013,1267.33,-0.71,591.34,M,Y,0.08
T1_24014,1267.44,0.59,636.76,M,Y,0.08
T1_24015,1266.81,-0.16,682.3,M,Y,0.08
T1_24016,1266.33,-0.78,728.17,M,Y,0.08
T1_24017,1266.32,-0.42,773.49,M,Y,0.08
T1_24018,1266.45,-0.01,818.88,M,Y,0.08
T1_24019,1266.82,0.28,864.1,M,Y,0.08
T1_24020,1266.37,-0.03,909.13,M,Y,0.08
T1_24021,1266.08,-0.24,954.46,M,Y,0.08
T1_24022,1266.35,0.11,1000.06,M,Y,0.08
T1_24023,1266.58,0.04,1045.33,M,Y,0.08
T1_24024,1266.17,-0.4,1090.7,M,Y,0.08
T1_24025,1265.65,-0.44,1136.36,M,Y,0.08
T1_24026,1265.34,0.28,1182.22,M,Y,0.08
T1_24027,1265.82,-0.39,1228.52,M,Y,0.08
T1_25000,1425.82,-1.06,20.63,M,Y,0.08
T1_25001,1425.16,-0.91,67.35,M,Y,0.08
T1_25002,1426.14,-0.74,112.96,M,Y,0.08
T1_25003,1425.29,-0.12,158.49,M,Y,0.08
T1_25004,1426.88,-0.93,204.64,M,Y,0.08
T1_25005,1426.86,-0.94,249.91,M,Y,0.08
T1_25006,1425.74,-1.07,294.76,M,Y,0.08
T1_25007,1425.07,-1.07,340.38,M,Y,0.08
