Sensor/I:Type/C:Side/C:Sec/I:Num/I:ECha/I:Elmb/I:EAd/I:EIn/I
#Sensor	Type	Side	Sec	Num	ECha	Elmb	EAd	EIn
558	ROC	C	6	3	706	22	0	2
604	ROC	C	6	4	708	22	0	4
320	ROC	C	7	0	710	22	0	6
321	ROC	C	7	1	712	22	1	0
345	ROC	C	7	2	713	22	1	1
380	ROC	C	7	3	715	22	1	3
381	ROC	C	7	4	714	22	1	2
349	ROC	C	8	0	726	22	2	6
346	ROC	C	8	1	752	23	2	0
371	ROC	C	8	2	753	23	2	1
372	ROC	C	8	3	754	23	2	2
373	ROC	C	8	4	755	23	2	3
351	ROC	C	9	0	751	23	1	7
347	ROC	C	9	1	745	23	1	1
342	ROC	C	9	2	748	23	1	4
343	ROC	C	9	3	746	23	1	2
344	ROC	C	9	4	747	23	1	3
350	ROC	C	10	0	744	23	1	0
353	ROC	C	10	1	787	24	2	3
368	ROC	C	10	2	776	24	1	0
369	ROC	C	10	3	786	24	2	2
370	ROC	C	10	4	785	24	2	1
355	ROC	C	11	0	788	24	2	4
354	ROC	C	11	1	782	24	1	6
365	ROC	C	11	2	777	24	1	1
366	ROC	C	11	3	780	24	1	4
367	ROC	C	11	4	781	24	1	5
326	ROC	C	12	0	779	24	1	3
332	ROC	C	12	1	812	25	1	4
356	ROC	C	12	2	816	25	2	0
357	ROC	C	12	3	813	25	1	5
358	ROC	C	12	4	815	25	1	7
333	ROC	C	13	0	818	25	2	2
328	ROC	C	13	1	808	25	1	0
359	ROC	C	13	2	820	25	2	4
360	ROC	C	13	3	817	25	2	1
361	ROC	C	13	4	819	25	2	3
335	ROC	C	14	0	810	25	1	2
334	ROC	C	14	1	843	26	1	3
362	ROC	C	14	2	847	26	1	7
363	ROC	C	14	3	846	26	1	6
364	ROC	C	14	4	848	26	2	0
331	ROC	C	15	0	844	26	1	4
327	ROC	C	15	1	839	26	0	7
336	ROC	C	15	2	836	26	0	4
338	ROC	C	15	3	838	26	0	6
337	ROC	C	15	4	837	26	0	5
330	ROC	C	16	0	840	26	1	0
374	ROC	C	16	2	875	27	1	3
375	ROC	C	16	3	874	27	1	2
376	ROC	C	16	4	872	27	1	0
348	ROC	C	17	0	876	27	1	4
352	ROC	C	17	1	871	27	0	7
339	ROC	C	17	2	882	27	2	2
340	ROC	C	17	3	880	27	2	0
341	ROC	C	17	4	883	27	2	3
733	TPC	A	0	1	595	18	2	3
740	TPC	A	1	1	344	10	3	0
742	TPC	A	2	0	377	11	3	1
739	TPC	A	2	1	343	10	2	7
730	TPC	A	3	1	379	11	3	3
729	TPC	A	4	1	378	11	3	2
728	TPC	A	5	1	407	12	2	7
741	TPC	A	6	0	376	11	3	0
727	TPC	A	6	1	406	12	2	6
726	TPC	A	7	1	438	13	2	6
725	TPC	A	8	1	437	13	2	5
724	TPC	A	9	1	471	14	2	7
723	TPC	A	10	1	470	14	2	6
744	TPC	A	11	0	570	17	3	2
722	TPC	A	11	1	502	15	2	6
