203	65	2	3	4	4	0	512
204	67	11	4	14	4	1	2560
205	65	2	3	10	1	1	2176
206	67	10	6	6	3	0	384
207	65	0	5	4	5	0	640
208	65	0	5	3	6	0	768
209	65	1	5	17	7	1	2944
210	65	2	3	14	5	1	2688
211	67	10	5	12	2	1	2304
212	65	1	5	10	0	1	2048
213	65	1	5	12	2	1	2304
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
216	65	0	6	3	6	0	768
217	65	1	4	7	2	0	256
218	65	1	5	13	3	1	2432
219	65	2	6	19	9	1	3200
220	65	1	6	9	0	0	0
221	65	2	6	12	2	1	2304
222	65	2	4	9	0	0	0
223	65	2	6	13	3	1	2432
224	65	2	3	7	1	0	128
225	65	1	4	6	3	0	384
226	65	2	4	11	1	1	2176
227	67	11	6	4	5	0	640
228	65	1	4	5	4	0	512
229	65	1	5	14	4	1	2560
