# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            2.60462                 7304.25           1.46377
            2.59916                 7078.14           1.46371
            2.59372                 7010.76           1.46364
            2.58831                 6959.87           1.46358
            2.58292                 6865.87           1.46351
            2.57755                 6381.85           1.46345
             2.5722                 6060.05           1.46339
            2.56687                 6008.92           1.46332
            2.56157                 5600.66           1.46326
            2.55629                 4823.14            1.4632
            2.55103                 5035.75           1.46314
            2.54579                 4896.89           1.46308
            2.54057                 5081.86           1.46301
            2.53538                 4967.84           1.46295
             2.5302                 5018.23           1.46289
            2.52505                 4870.09           1.46284
            2.51992                 4522.65           1.46278
            2.51481                 4533.44           1.46272
            2.50972                 4712.94           1.46267
            2.50465                 4850.35           1.46261
             2.4996                 5138.56           1.46255
            2.49457                 5457.33            1.4625
            2.48956                 5264.15           1.46244
            2.48457                 4842.79           1.46239
             2.4796                 4860.22           1.46233
            2.47465                 4860.02           1.46228
            2.46972                 4767.89           1.46223
            2.46481                 4902.71           1.46217
            2.45992                 4692.47           1.46212
            2.45505                 4509.28           1.46206
             2.4502                  4888.5           1.46201
            2.44536                 5076.67           1.46196
            2.44055                 4938.44            1.4619
            2.43576                 4945.97           1.46185
            2.43098                 5334.08            1.4618
            2.42622                 6018.45           1.46175
            2.42148                  5486.7           1.46169
            2.41676                 5150.21           1.46164
            2.41206                 5230.66           1.46159
            2.40738                 5584.07           1.46154
            2.40271                 6043.85           1.46149
            2.39807                 6100.82           1.46144
            2.39344                  6160.3           1.46138
            2.38882                  5874.7           1.46133
            2.38423                 6322.74           1.46128
            2.37965                 6112.55           1.46123
             2.3751                 6349.78           1.46118
            2.37055                  6174.3           1.46113
            2.36603                 6178.66           1.46108
            2.36152                 6251.36           1.46103
            2.35703                 6074.57           1.46099
            2.35256                 5976.79           1.46094
            2.34811                 6171.57           1.46089
            2.34367                 6339.55           1.46085
            2.33925                 6558.62            1.4608
            2.33484                 6792.22           1.46075
            2.33045                 6416.52           1.46071
            2.32608                 5831.67           1.46066
            2.32172                 5759.84           1.46062
            2.31738                 5925.86           1.46057
            2.31306                 6014.47           1.46053
            2.30875                 5887.32           1.46048
            2.30446                 5955.23           1.46044
            2.30019                 5874.43           1.46039
            2.29593                 5938.15           1.46035
            2.29168                 5627.61           1.46031
            2.28745                  5589.6           1.46026
            2.28324                 5654.86           1.46022
            2.27904                 5424.38           1.46017
            2.27486                 5441.83           1.46013
             2.2707                 5647.23           1.46009
            2.26654                 5572.24           1.46004
            2.26241                 5248.18              1.46
            2.25829                  5399.1           1.45996
            2.25418                 5359.82           1.45991
            2.25009                 5245.71           1.45987
            2.24601                 5462.92           1.45983
            2.24195                 5545.73           1.45979
            2.23791                    5350           1.45975
            2.23387                 5183.42            1.4597
            2.22986                 5185.85           1.45966
            2.22585                 5100.88           1.45962
            2.22186                 5101.39           1.45958
            2.21789                 5110.65           1.45954
            2.21393                 4875.82            1.4595
            2.20998                 4887.94           1.45946
            2.20605                 5121.36           1.45942
            2.20213                 4862.73           1.45938
            2.19823                 4566.95           1.45934
            2.19434                 4539.88            1.4593
            2.19046                 4323.95           1.45926
             2.1866                  4246.9           1.45922
            2.18275                 4517.97           1.45919
            2.17891                 4617.67           1.45915
            2.17509                 4726.37           1.45911
            2.17128                 4850.82           1.45907
            2.16748                 4740.43           1.45903
             2.1637                 4857.92             1.459
            2.15993                 4918.94           1.45896
            2.15617                    4599           1.45892
            2.15243                 4308.44           1.45889
             2.1487                 4514.46           1.45885
            2.14498                 4647.73           1.45881
            2.14128                 4666.59           1.45877
            2.13759                 4863.94           1.45874
            2.13391                 4929.74            1.4587
            2.13024                 4676.07           1.45866
            2.12659                 4357.74           1.45863
            2.12295                  4516.4           1.45859
            2.11932                 4605.61           1.45856
             2.1157                 4466.63           1.45852
             2.1121                 4487.77           1.45848
             2.1085                 4281.24           1.45845
            2.10492                 4180.91           1.45841
            2.10136                 4314.81           1.45838
             2.0978                 4265.91           1.45834
            2.09426                 4214.77           1.45831
            2.09073                 4226.52           1.45827
            2.08721                 4223.66           1.45824
             2.0837                 4344.64            1.4582
             2.0802                 4557.19           1.45817
            2.07672                    4522           1.45814
            2.07324                 4371.55            1.4581
            2.06978                 4391.72           1.45807
            2.06633                 4380.62           1.45804
             2.0629                 4266.35             1.458
            2.05947                 4361.76           1.45797
            2.05605                 4279.44           1.45794
            2.05265                 4528.91           1.45791
            2.04926                 4564.34           1.45787
            2.04587                 4457.37           1.45784
             2.0425                 4370.95           1.45781
            2.03914                 4346.81           1.45778
             2.0358                 4311.57           1.45775
            2.03246                 4486.32           1.45771
            2.02913                 4350.13           1.45768
            2.02582                 4195.16           1.45765
            2.02251                 4489.24           1.45762
            2.01922                 4449.01           1.45759
            2.01593                 4630.48           1.45756
            2.01266                 4555.15           1.45752
             2.0094                    4567           1.45749
            2.00615                 4791.15           1.45746
            2.00291                 4782.69           1.45743
            1.99968                 4685.33            1.4574
            1.99646                 4686.26           1.45737
            1.99325                 4546.09           1.45734
            1.99005                 4655.05           1.45731
            1.98686                 4715.69           1.45728
            1.98368                 4889.51           1.45725
            1.98051                  5175.5           1.45722
            1.97735                 4791.19           1.45719
             1.9742                 5048.62           1.45716
            1.97107                 4775.55           1.45713
            1.96794                 4918.41            1.4571
            1.96482                 5350.39           1.45707
            1.96171                 5271.79           1.45704
            1.95861                 5106.41           1.45701
            1.95552                 5253.11           1.45698
            1.95244                 5416.49           1.45695
            1.94937                  5801.2           1.45692
            1.94631                 5623.17            1.4569
            1.94326                 5522.64           1.45687
            1.94022                 5283.72           1.45684
            1.93719                 5128.82           1.45681
            1.93417                 5371.91           1.45678
            1.93115                 5517.05           1.45676
            1.92815                 5346.84           1.45673
            1.92516                 5292.18            1.4567
