,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_3,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_17,phs_col:phs_col_dp.State_phos_module_4.Matrix_t_phos_module_4.Matrix_t_phos_module_4_18,
2012/03/24 22:39:28.751,,,-24.972952481947,
2012/03/24 22:42:08.657,-24.918256324178,,,
2012/03/24 23:37:23.538,,-24.905544114819,,
2012/03/24 23:39:40.912,,,-24.977484369456,
2012/03/24 23:42:13.490,-24.918256324178,,,
2012/03/25 00:37:28.078,,-24.908498257523,,
2012/03/25 00:40:00.764,,,-24.969175142931,
2012/03/25 00:42:18.357,-24.902501316598,,,
2012/03/25 01:37:34.476,,-24.897255942826,,
2012/03/25 01:40:21.710,,,-24.977383735621,
2012/03/25 01:42:23.772,-24.918306611973,,,
2012/03/25 03:37:39.016,,-24.897241182037,,
2012/03/25 03:37:43.774,,-24.909319385389,,
2012/03/25 03:40:27.343,,,-24.977484369456,
2012/03/25 03:40:32.757,,,-24.977441438508,
2012/03/25 03:42:26.342,-24.910053405242,,,
2012/03/25 03:42:35.257,-24.914857332898,,,
2012/03/25 05:37:44.267,,-24.905393278402,,
2012/03/25 05:40:38.609,,,-24.969175142931,
2012/03/25 05:42:40.780,-24.918256324178,,,
2012/03/25 06:37:52.853,,-24.908447519989,,
2012/03/25 06:40:43.039,,,-24.985311692194,
2012/03/25 06:42:47.398,-24.918256324178,,,
2012/03/25 07:38:01.877,,-24.897341739909,,
2012/03/25 07:40:51.188,,,-24.977397584314,
2012/03/25 07:43:20.812,-24.92469796857,,,
2012/03/25 08:38:11.229,,-24.905587474521,,
2012/03/25 08:41:01.306,,,-24.972460661703,
2012/03/25 08:43:29.070,-24.918307073329,,,
2012/03/25 09:38:13.078,,-24.913048667273,,
2012/03/25 09:41:10.045,,,-24.96920868763,
2012/03/25 09:43:30.482,-24.917582591159,,,
2012/03/25 10:38:21.008,,-24.915098954909,,
2012/03/25 10:41:28.475,,,-24.977492199297,
2012/03/25 10:43:30.537,-24.929899997243,,,
2012/03/25 11:38:39.328,,-24.905544114819,,
2012/03/25 11:41:37.608,,,-24.979548978042,
2012/03/25 11:43:39.889,-24.922369773772,,,
2012/03/25 12:38:39.383,,-24.904898241842,,
2012/03/25 12:41:47.398,,,-24.976615087136,
2012/03/25 12:43:40.600,-24.922509100195,,,
2012/03/25 13:38:48.407,,-24.905442634661,,
2012/03/25 13:41:54.125,,,-24.969987457286,
2012/03/25 13:43:49.405,-24.914857332898,,,
2012/03/25 14:38:48.681,,-24.908947626751,,
2012/03/25 14:41:56.149,,,-24.985348019022,
2012/03/25 14:44:07.398,-24.913532350354,,,
2012/03/25 15:38:58.361,,-24.905442634661,,
2012/03/25 15:42:36.344,,,-24.977433590916,
2012/03/25 15:44:08.000,-24.914528804495,,,
2012/03/25 16:38:58.635,,-24.898089332761,,
2012/03/25 16:42:41.430,,,-24.977397584314,
2012/03/25 16:44:13.305,-24.918256324178,,,
2012/03/25 17:38:58.799,,-24.904688567178,,
2012/03/25 17:42:41.595,,,-24.985374587151,
2012/03/25 17:44:34.688,-24.914895396052,,,
2012/03/25 18:39:19.697,,-24.905443724525,,
2012/03/25 18:42:50.461,,,-24.981189704039,
2012/03/25 18:44:40.382,-24.918154825873,,,
2012/03/25 19:39:34.408,,-24.913005309095,,
2012/03/25 19:43:09.219,,,-24.969261928299,
2012/03/25 19:44:44.047,-24.910002194601,,,
2012/03/25 20:39:44.307,,-24.905544114819,,
2012/03/25 20:43:18.243,,,-24.981193486346,
2012/03/25 20:44:49.789,-24.918306611973,,,
2012/03/25 21:39:52.784,,-24.917069905074,,
2012/03/25 21:43:23.767,,,-24.97739850756,
2012/03/25 21:44:55.204,-24.918256324178,,,
2012/03/25 22:40:20.073,,-24.920935232657,,
2012/03/25 22:43:27.431,,,-24.977128874562,
2012/03/25 22:45:01.274,-24.929908455126,,,
2012/03/25 23:40:47.362,,-24.905635006339,,
2012/03/25 23:43:35.361,,,-24.969987457286,
2012/03/25 23:45:07.236,-24.925756400825,,,
2012/03/26 00:40:53.542,,-24.917124563984,,
2012/03/26 00:43:41.651,,,-24.977484369456,
2012/03/26 00:45:28.509,-24.922408524738,,,
2012/03/26 01:40:59.394,,-24.905594393623,,
2012/03/26 01:43:47.393,,,-24.977527762026,
2012/03/26 01:45:30.205,-24.910780881724,,,
2012/03/26 02:41:05.137,,-24.905587013248,,
2012/03/26 02:43:53.245,,,-24.985387166142,
2012/03/26 02:45:31.026,-24.92104137486,,,
2012/03/26 03:41:06.785,,-24.910902499418,,
2012/03/26 03:43:55.768,,,-24.973279441945,
2012/03/26 03:45:39.892,-24.910799105925,,,
2012/03/26 04:41:06.949,,-24.912897836162,,
2012/03/26 04:43:55.932,,,-24.977523518658,
2012/03/26 04:45:49.025,-24.918281698753,,,
2012/03/26 05:41:23.629,,-24.897341739909,,
2012/03/26 05:44:11.847,,,-24.965071300204,
2012/03/26 05:46:14.018,-24.918256324178,,,
2012/03/26 06:41:34.512,,-24.897266552143,,
2012/03/26 06:44:17.261,,,-24.977484369456,
2012/03/26 06:46:16.370,-24.918703787407,,,
2012/03/26 07:41:35.005,,-24.893089707459,,
2012/03/26 07:44:24.097,,,-24.981193555819,
2012/03/26 07:46:25.940,-24.914857794269,,,
2012/03/26 08:41:52.450,,-24.893115077598,,
2012/03/26 08:44:24.152,,,-24.971070415869,
2012/03/26 08:47:01.870,-24.924274759485,,,
2012/03/26 09:42:01.474,,-24.912957781856,,
2012/03/26 09:44:48.379,,,-24.977397584314,
2012/03/26 09:47:36.159,-24.922408524738,,,
2012/03/26 10:42:01.748,,-24.905594854896,,
2012/03/26 10:45:08.122,,,-24.981232634231,
2012/03/26 10:47:41.136,-24.922408524738,,,
2012/03/26 11:42:10.881,,-24.913048667273,,
2012/03/26 11:45:10.036,,,-24.977114102864,
2012/03/26 11:47:46.879,-24.922358237008,,,
2012/03/26 12:42:16.668,,-24.897342662459,,
2012/03/26 12:45:18.885,,,-24.981595582001,
2012/03/26 12:48:05.900,-24.924795576232,,,
2012/03/26 13:42:20.770,,-24.917149241212,,
2012/03/26 13:45:19.050,,,-24.981684370042,
2012/03/26 13:48:23.345,-24.925743145969,,,
2012/03/26 14:42:38.825,,-24.917149702469,,
2012/03/26 14:45:37.183,,,-24.981648053621,
2012/03/26 14:48:24.322,-24.930763658425,,,
2012/03/26 15:42:47.161,,-24.913003224574,,
2012/03/26 15:45:37.238,,,-24.981658548735,
2012/03/26 15:48:57.065,-24.930612334279,,,
2012/03/26 16:42:47.935,,-24.89732790167,,
2012/03/26 16:45:44.027,,,-24.977484369456,
2012/03/26 16:49:17.963,-24.922458812467,,,
2012/03/26 17:42:56.958,,-24.917049148526,,
2012/03/26 17:45:50.317,,,-24.977484369456,
2012/03/26 17:49:28.409,-24.92797830875,,,
2012/03/26 18:42:57.779,,-24.917896993292,,
2012/03/26 18:45:56.059,,,-24.981595582001,
2012/03/26 18:49:29.995,-24.934814806119,,,
2012/03/26 19:42:58.490,,-24.913092025451,,
2012/03/26 19:46:16.895,,,-24.981638974514,
2012/03/26 19:49:50.832,-24.930712909475,,,
2012/03/26 20:43:15.827,,-24.916844109616,,
2012/03/26 20:46:24.497,,,-24.985336850177,
2012/03/26 20:49:58.543,-24.938212547345,,,
2012/03/26 21:43:24.694,,-24.893127762667,,
2012/03/26 21:46:59.504,,,-24.986243170916,
2012/03/26 21:50:04.675,-24.930803741476,,,
2012/03/26 22:43:25.514,,-24.906146560582,,
2012/03/26 22:47:03.387,,,-24.981232634231,
2012/03/26 22:50:06.808,-24.938212547345,,,
2012/03/26 23:43:43.069,,-24.916851028352,,
2012/03/26 23:47:08.911,,,-24.97752976587,
2012/03/26 23:50:11.238,-24.929908455126,,,
2012/03/27 00:43:54.499,,-24.917149702469,,
2012/03/27 00:47:13.013,,,-24.985387166142,
2012/03/27 00:50:41.590,-24.929897262292,,,
2012/03/27 01:43:57.726,,-24.905544114819,,
2012/03/27 01:47:31.334,,,-24.985387166142,
2012/03/27 01:50:59.692,-24.922454043097,,,
2012/03/27 02:44:37.484,,-24.906601334627,,
2012/03/27 02:47:34.451,,,-24.981232634231,
2012/03/27 02:51:08.387,-24.925907258894,,,
2012/03/27 03:45:05.867,,-24.900594698025,,
2012/03/27 03:47:36.366,,,-24.988700162073,
2012/03/27 03:51:08.989,-24.918279241856,,,
2012/03/27 04:45:14.562,,-24.904615951688,,
2012/03/27 04:48:03.546,,,-24.976308981952,
2012/03/27 04:51:17.138,-24.917552848151,,,
2012/03/27 05:45:32.883,,-24.898650329019,,
2012/03/27 05:48:04.257,,,-24.972163565822,
2012/03/27 05:51:54.052,-24.917553770833,,,
2012/03/27 06:45:50.594,,-24.900575102325,,
2012/03/27 06:48:05.998,,,-24.980369679143,
2012/03/27 06:51:54.151,-24.92206190701,,,
2012/03/27 07:45:51.740,,-24.892292024568,,
2012/03/27 07:48:13.380,,,-24.968725613702,
2012/03/27 07:52:03.394,-24.918155748585,,,
2012/03/27 08:46:00.108,,-24.896392625465,,
2012/03/27 08:48:13.435,,,-24.96871868945,
2012/03/27 08:52:21.605,-24.913253376604,,,
2012/03/27 09:46:35.928,,-24.880652010708,,
2012/03/27 09:48:16.771,,,-24.960459892635,
2012/03/27 09:52:30.191,-24.917553770833,,,
2012/03/27 10:47:04.311,,-24.892266885885,,
2012/03/27 10:48:20.873,,,-24.96876900568,
2012/03/27 10:52:48.403,-24.918205575026,,,
2012/03/27 11:47:24.272,,-24.892292024568,,
2012/03/27 11:48:25.522,,,-24.960459892635,
2012/03/27 11:52:57.645,-24.909901618746,,,
2012/03/27 12:47:32.421,,-24.900594698025,,
2012/03/27 12:48:33.452,,,-24.96876900568,
2012/03/27 12:52:58.138,-24.925656351256,,,
2012/03/27 13:47:39.914,,-24.900493221037,,
2012/03/27 13:48:42.148,,,-24.968085557914,
2012/03/27 13:53:02.021,-24.909951906674,,,
2012/03/27 14:47:40.078,,-24.893181438201,,
2012/03/27 14:48:51.500,,,-24.968812397658,
2012/03/27 14:53:26.795,-24.918256324178,,,
2012/03/27 15:47:41.105,,-24.900594698025,,
2012/03/27 15:48:57.337,,,-24.965020521465,
2012/03/27 15:53:32.190,-24.909977270044,,,
2012/03/27 16:47:49.137,,-24.916763045087,,
2012/03/27 16:49:47.151,,,-24.972923554,
2012/03/27 16:53:43.619,-24.922358237008,,,
2012/03/27 17:47:58.488,,-24.897190441825,,
2012/03/27 17:50:07.003,,,-24.972923554,
2012/03/27 17:53:56.142,-24.925756400825,,,
2012/03/27 18:48:09.372,,-24.904746026566,,
2012/03/27 18:50:11.543,,,-24.981232634231,
2012/03/27 18:54:20.041,-24.941809936023,,,
2012/03/27 19:48:16.427,,-24.893226052671,,
2012/03/27 19:50:16.629,,,-24.972923554,
2012/03/27 19:54:29.065,-24.926112720834,,,
2012/03/27 20:48:17.466,,-24.904356534516,,
2012/03/27 20:50:21.825,,,-24.984625166023,
2012/03/27 20:54:38.417,-24.92124563424,,,
2012/03/27 21:48:17.521,,-24.904695749397,,
2012/03/27 21:50:30.848,,,-24.988642000635,
2012/03/27 21:54:45.581,-24.925806776405,,,
2012/03/27 22:48:45.357,,-24.900644975259,,
2012/03/27 22:50:31.122,,,-24.976308981952,
2012/03/27 22:55:05.433,-24.925655828775,,,
2012/03/27 23:49:02.037,,-24.901613012876,,
2012/03/27 23:50:37.740,,,-24.968000161594,
2012/03/27 23:55:05.597,-24.925625853372,,,
2012/03/28 00:49:11.141,,-24.892292024568,,
2012/03/28 00:50:39.730,,,-24.97618812939,
2012/03/28 00:55:15.015,-24.917471859469,,,
2012/03/28 01:49:11.396,,-24.90054442079,,
2012/03/28 01:50:49.396,,,-24.96876900568,
2012/03/28 01:55:24.691,-24.91745227584,,,
2012/03/28 02:49:12.326,,-24.908452397693,,
2012/03/28 02:50:50.216,,,-24.970839125468,
2012/03/28 02:55:42.464,-24.909908539103,,,
2012/03/28 03:49:14.678,,-24.904347001997,,
2012/03/28 03:51:01.865,,,-24.976265591502,
2012/03/28 03:55:52.144,-24.917474984516,,,
2012/03/28 04:49:21.515,,-24.904791471015,,
2012/03/28 04:51:08.373,,,-24.980398298338,
2012/03/28 04:55:52.418,-24.925303975853,,,
2012/03/28 05:49:26.163,,-24.900594698025,,
2012/03/28 05:51:17.288,,,-24.968860633698,
2012/03/28 05:56:03.411,-24.925680279779,,,
2012/03/28 06:50:31.843,,-24.900442482541,,
2012/03/28 06:51:17.671,,,-24.972880623695,
2012/03/28 06:56:08.060,-24.913300205157,,,
2012/03/28 07:50:52.242,,-24.900594698025,,
2012/03/28 07:51:26.804,,,-24.967978235511,
2012/03/28 07:56:12.927,-24.917426902091,,,
2012/03/28 08:50:52.516,,-24.900644975259,,
2012/03/28 08:51:26.968,,,-24.968667449986,
2012/03/28 08:56:19.435,-24.913312892047,,,
2012/03/28 09:51:01.211,,-24.900145464596,,
2012/03/28 09:51:33.909,,,-24.960459892635,
2012/03/28 09:57:04.844,-24.911010323042,,,
2012/03/28 10:51:10.076,,-24.892392579299,,
2012/03/28 10:51:45.622,,,-24.968814819698,
2012/03/28 10:57:14.948,-24.915351098086,,,
2012/03/28 11:51:11.115,,-24.892044032311,,
2012/03/28 11:51:45.677,,,-24.969853816877,
2012/03/28 11:57:41.909,-24.916751883411,,,
2012/03/28 12:51:20.795,,-24.896145769956,,
2012/03/28 12:51:46.170,,,-24.968791704446,
2012/03/28 12:57:50.933,-24.915351098086,,,
2012/03/28 13:51:46.334,,,-24.956798202396,
2012/03/28 13:51:56.616,,-24.892989149451,,
2012/03/28 13:58:00.395,-24.925705653461,,,
2012/03/28 14:51:55.577,,,-24.97631636756,
2012/03/28 14:52:14.936,,-24.903605129157,,
2012/03/28 14:58:00.450,-24.910042747533,,,
2012/03/28 15:51:55.960,,,-24.967966413378,
2012/03/28 15:52:23.522,,-24.892342301934,,
2012/03/28 15:58:00.723,-24.925705653461,,,
2012/03/28 16:52:22.484,,,-24.974407223167,
2012/03/28 16:52:24.453,,-24.904695749397,,
2012/03/28 16:58:04.825,-24.925756400825,,,
2012/03/28 17:52:24.617,,-24.916725337973,,
2012/03/28 17:52:31.726,,,-24.980380846787,
2012/03/28 17:58:18.771,-24.922454867883,,,
2012/03/28 18:52:24.755,,-24.908574363824,,
2012/03/28 18:52:31.752,,,-24.978434323098,
2012/03/28 18:58:19.146,-24.922052260114,,,
2012/03/28 19:52:32.226,,,-24.975395137867,
2012/03/28 19:52:34.195,,-24.911367845551,,
2012/03/28 19:58:28.021,-24.917406441801,,,
2012/03/28 20:52:33.375,,,-24.973024186324,
2012/03/28 20:52:48.687,,-24.912998390237,,
2012/03/28 20:58:28.841,-24.91736144109,,,
2012/03/28 21:52:41.195,,,-24.970170781669,
2012/03/28 21:52:53.555,,-24.904746026566,,
2012/03/28 21:58:29.553,-24.91745227584,,,
2012/03/28 22:53:01.375,,-24.904847503418,,
2012/03/28 22:53:12.641,,,-24.968819783526,
2012/03/28 22:58:48.748,-24.925756400825,,,
2012/03/28 23:53:10.399,,-24.9048465809,,
2012/03/28 23:53:44.961,,,-24.980506774319,
2012/03/28 23:59:04.881,-24.917502561996,,,
2012/03/29 00:53:21.939,,-24.904746026566,,
2012/03/29 00:54:07.657,,,-24.972923554,
2012/03/29 00:59:13.249,-24.918154825873,,,
2012/03/29 01:53:28.556,,-24.904695467903,,
2012/03/29 01:54:21.384,,,-24.96926100505,
2012/03/29 01:59:23.038,-24.925654906096,,,
2012/03/29 02:53:28.721,,-24.920906134198,,
2012/03/29 02:54:33.033,,,-24.977484369456,
2012/03/29 02:59:23.421,-24.913747573973,,,
2012/03/29 03:53:29.651,,-24.913094109954,,
2012/03/29 03:54:53.213,,,-24.97301033784,
2012/03/29 03:59:32.175,-24.918301742845,,,
2012/03/29 04:53:40.580,,-24.913048667273,,
2012/03/29 04:55:57.954,,,-24.972945019152,
2012/03/29 04:59:47.202,-24.918256324178,,,
2012/03/29 05:53:56.603,,-24.904782004723,,
2012/03/29 05:56:17.040,,,-24.981232634231,
2012/03/29 06:00:00.054,-24.924274759485,,,
2012/03/29 06:54:04.643,,-24.917156621318,,
2012/03/29 06:56:37.329,,,-24.985329566746,
2012/03/29 07:00:18.265,-24.923926718528,,,
2012/03/29 07:54:09.510,,-24.933805173514,,
2012/03/29 07:56:46.353,,,-24.999337614244,
2012/03/29 08:00:27.289,-24.914958373271,,,
2012/03/29 08:54:51.018,,-24.917896993292,,
2012/03/29 08:56:47.283,,,-24.985387166142,
2012/03/29 09:00:54.688,-24.938169642925,,,
2012/03/29 09:54:51.511,,-24.917199979439,,
2012/03/29 09:57:04.838,,,-24.988739628762,
2012/03/29 10:00:57.149,-24.922408524738,,,
2012/03/29 10:55:10.488,,-24.913048667273,,
2012/03/29 10:57:22.831,,,-24.983757504552,
2012/03/29 11:01:47.735,-24.929908455126,,,
2012/03/29 11:55:18.308,,-24.916149582663,,
2012/03/29 11:57:23.433,,,-24.975026214981,
2012/03/29 12:01:49.212,-24.925711023046,,,
2012/03/29 12:55:48.441,,-24.913048667273,,
2012/03/29 12:57:32.019,,,-24.974602728555,
2012/03/29 13:01:49.486,-24.929865550593,,,
2012/03/29 13:55:52.432,,-24.925416793891,,
2012/03/29 13:57:41.259,,,-24.978409994477,
2012/03/29 14:02:14.148,-24.918273086776,,,
2012/03/29 14:55:54.456,,-24.918089359264,,
2012/03/29 14:57:43.611,,,-24.985387166142,
2012/03/29 15:02:16.172,-24.915478071104,,,
2012/03/29 15:56:12.776,,-24.920025360491,,
2012/03/29 15:57:50.557,,,-24.985417706439,
2012/03/29 16:02:23.446,-24.918307248735,,,
2012/03/29 16:56:21.800,,-24.91799847305,,
2012/03/29 16:57:51.378,,,-24.989490915072,
2012/03/29 17:02:26.345,-24.914857794269,,,
2012/03/29 17:56:22.621,,-24.933604066686,,
2012/03/29 17:58:00.401,,,-24.984152321662,
2012/03/29 18:02:32.197,-24.91490808377,,,
2012/03/29 18:56:31.207,,-24.925463400567,,
2012/03/29 18:58:01.878,,,-24.985336850177,
2012/03/29 19:02:52.048,-24.922408524738,,,
2012/03/29 19:56:36.075,,-24.917149702469,,
2012/03/29 19:58:07.840,,,-24.985387166142,
2012/03/29 20:03:02.275,-24.927439089979,,,
2012/03/29 20:56:41.927,,-24.929254453278,,
2012/03/29 20:58:09.317,,,-24.992339243298,
2012/03/29 21:03:02.549,-24.929857707829,,,
2012/03/29 21:56:46.575,,-24.920951991352,,
2012/03/29 21:58:10.137,,,-24.988637164698,
2012/03/29 22:03:20.432,-24.917463630179,,,
2012/03/29 22:56:58.852,,-24.920901254018,,
2012/03/29 22:58:37.726,,,-24.981232634231,
2012/03/29 23:03:30.412,-24.919349996644,,,
2012/03/29 23:56:59.453,,-24.920901254018,,
2012/03/29 23:58:46.422,,,-24.992868857277,
2012/03/30 00:03:39.545,-24.917401528343,,,
2012/03/30 00:57:18.868,,-24.920951991352,,
2012/03/30 00:59:21.039,,,-24.988728781193,
2012/03/30 01:03:40.694,-24.925756400825,,,
2012/03/30 01:57:24.939,,-24.917199979439,,
2012/03/30 01:59:31.266,,,-24.992858009721,
2012/03/30 02:03:47.092,-24.91745227584,,,
2012/03/30 02:57:26.962,,-24.92915390137,,
2012/03/30 02:59:49.477,,,-24.982468978336,
2012/03/30 03:04:23.460,-24.925756400825,,,
2012/03/30 03:57:27.017,,-24.929152978875,,
2012/03/30 03:59:53.688,,,-24.988728781193,
2012/03/30 04:04:42.655,-24.911010442099,,,
2012/03/30 04:57:27.291,,-24.91730145589,,
2012/03/30 05:00:17.259,,,-24.986870915033,
2012/03/30 05:04:43.257,-24.919133401573,,,
2012/03/30 05:57:28.331,,-24.937931320065,,
2012/03/30 06:00:21.470,,,-24.985473949639,
2012/03/30 06:04:56.547,-24.929857707829,,,
2012/03/30 06:57:36.698,,-24.925548444303,,
2012/03/30 07:00:26.885,,,-25.001101143357,
2012/03/30 07:05:01.852,-24.927857802323,,,
2012/03/30 07:57:37.141,,-24.933602221669,,
2012/03/30 08:00:36.296,,,-24.992912093632,
2012/03/30 08:05:08.419,-24.925756400825,,,
2012/03/30 08:57:37.415,,-24.925604063579,,
2012/03/30 09:00:39.851,,,-24.985387166142,
2012/03/30 09:05:30.021,-24.918256324178,,,
2012/03/30 09:57:57.376,,-24.933805173514,,
2012/03/30 10:00:54.672,,,-24.993667285799,
2012/03/30 10:05:38.826,-24.918155748585,,,
2012/03/30 10:58:18.868,,-24.933704620101,,
2012/03/30 11:01:03.805,,,-24.985426313248,
2012/03/30 11:05:47.850,-24.918347161494,,,
2012/03/30 11:58:22.861,,-24.918149308865,,
2012/03/30 12:01:12.282,,,-24.985387166142,
2012/03/30 12:05:47.905,-24.925655828775,,,
2012/03/30 12:58:43.806,,-24.925502587394,,
2012/03/30 13:01:16.493,,,-24.985387166142,
2012/03/30 13:05:48.288,-24.925710568574,,,
2012/03/30 13:58:50.533,,-24.909796130497,,
2012/03/30 14:01:22.345,,,-24.985473949639,
2012/03/30 14:05:56.109,-24.910053405242,,,
2012/03/30 14:58:52.667,,-24.925402033718,,
2012/03/30 15:01:48.759,,,-24.985402824986,
2012/03/30 15:07:00.257,-24.929857707829,,,
2012/03/30 15:59:00.159,,-24.937506156301,,
2012/03/30 16:01:49.252,,,-24.989862306665,
2012/03/30 16:07:07.203,-24.925756400825,,,
2012/03/30 16:59:17.666,,-24.937353945093,,
2012/03/30 17:01:51.665,,,-24.985515956544,
2012/03/30 17:07:12.350,-24.930560662618,,,
2012/03/30 17:59:26.799,,-24.937930568676,,
2012/03/30 18:02:11.736,,,-24.993696213556,
2012/03/30 18:07:17.437,-24.922408524738,,,
2012/03/30 18:59:45.448,,-24.926351629715,,
2012/03/30 19:02:18.244,,,-24.99780733748,
2012/03/30 19:07:23.961,-24.918307073329,,,
2012/03/30 20:00:03.909,,-24.938705349308,,
2012/03/30 20:02:23.580,,,-24.997850729058,
2012/03/30 20:07:28.844,-24.928056228127,,,
2012/03/30 21:00:04.730,,-24.938043174055,,
2012/03/30 21:02:36.432,,,-24.991184482011,
2012/03/30 21:08:19.758,-24.930684087653,,,
2012/03/30 22:00:04.894,,-24.933880588571,,
2012/03/30 22:02:45.565,,,-25.002390221644,
2012/03/30 22:08:41.141,-24.923809352947,,,
2012/03/30 23:00:05.059,,-24.938846504955,,
2012/03/30 23:02:45.730,,,-24.994189541553,
2012/03/30 23:08:59.352,-24.93826283317,,,
2012/03/31 00:00:07.083,,-24.938805905859,,
2012/03/31 00:02:55.081,,,-25.010314242744,
2012/03/31 00:09:08.376,-24.93073828395,,,
2012/03/31 01:00:22.888,,-24.9304863982,,
2012/03/31 01:03:03.668,,,-25.004895352496,
2012/03/31 01:09:26.368,-24.934848177356,,,
2012/03/31 02:00:30.914,,-24.938043174055,,
2012/03/31 02:03:20.990,,,-25.00868431834,
2012/03/31 02:09:38.988,-24.934839949885,,,
2012/03/31 03:00:34.140,,-24.946259011748,,
2012/03/31 03:03:22.248,,,-25.006159743653,
2012/03/31 03:10:11.527,-24.935230919125,,,
2012/03/31 04:00:40.320,,-24.9499671556,,
2012/03/31 04:03:48.334,,,-24.995120817163,
2012/03/31 04:10:19.894,-24.926510432173,,,
2012/03/31 05:00:40.813,,-24.92645218666,,
2012/03/31 05:03:49.046,,,-25.00124223572,
2012/03/31 05:10:20.059,-24.914460674154,,,
2012/03/31 06:00:50.164,,-24.935071045837,,
2012/03/31 06:03:50.413,,,-24.993696213556,
2012/03/31 06:10:29.630,-24.914460257455,,,
2012/03/31 07:00:50.548,,-24.935902495564,,
2012/03/31 07:04:24.484,,,-24.990873843165,
2012/03/31 07:10:30.013,-24.909985739531,,,
2012/03/31 08:01:08.759,,-24.926214487632,,
2012/03/31 08:04:34.273,,,-24.985437482106,
2012/03/31 08:10:35.755,-24.922343473638,,,
2012/03/31 09:01:09.033,,-24.925603141068,,
2012/03/31 09:04:52.813,,,-25.001235311766,
2012/03/31 09:10:40.076,-24.918170511975,,,
2012/03/31 10:01:50.103,,-24.933855911473,,
2012/03/31 10:05:01.508,,,-24.993610353511,
2012/03/31 10:10:57.850,-24.92469796857,,,
2012/03/31 11:02:03.233,,-24.9379062654,,
2012/03/31 11:05:10.482,,,-24.993656998248,
2012/03/31 11:10:57.964,-24.925665720751,,,
2012/03/31 12:02:30.522,,-24.937956458385,,
2012/03/31 12:05:18.521,,,-24.993696213556,
2012/03/31 12:11:40.347,-24.918256324178,,,
2012/03/31 13:02:30.906,,-24.937934779467,,
2012/03/31 13:05:19.889,,,-24.99769839692,
2012/03/31 13:11:45.762,-24.910755736941,,,
2012/03/31 14:02:39.711,,-24.943457978686,,
2012/03/31 14:05:37.991,,,-24.997836265199,
