    .9  6.2495494 -1.1316569   .524955E+01
   1.0  5.6275444 -1.0184911   .462754E+01
 158.0  1.0004429  -.0064461   .442863E-03
 160.0  1.0004312  -.0063656   .431180E-03
 162.0  1.0004168  -.0062870   .416756E-03
 164.0  1.0004021  -.0062103   .402093E-03
 166.0  1.0003849  -.0061355   .384927E-03
 168.0  1.0003736  -.0060624   .373602E-03
 170.0  1.0003552  -.0059911   .355244E-03
 172.0  1.0003444  -.0059215   .344396E-03
 174.0  1.0003335  -.0058534   .333548E-03
 176.0  1.0003123  -.0057869   .312328E-03
 178.0  1.0003060  -.0057219   .306010E-03
 180.0  1.0002925  -.0056583   .292540E-03
 182.0  1.0002849  -.0055961   .284910E-03
 184.0  1.0002669  -.0055353   .266910E-03
 186.0  1.0002522  -.0054758   .252247E-03
 188.0  1.0002493  -.0054175   .249267E-03
 190.0  1.0002376  -.0053605   .237584E-03
